,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,nedo,oglasivaca,iphone 11 pro max,Splitsko-dalmatinska,rabljeno,300,novi zamjenski ekran bez punjaca baterija na 80%,42695358,22.06.2024.,378
1,aldo40,oglasivaca,iphone 11 pro max space gray 64gb zdravlje baterije 79 posto savrsen,Istarska,rabljeno,295,cijenkanje zadnja cijena niza cijena spustite mi cijenu... ako necete platiti oglasenu cijenu odmah zatvorite ovaj oglas i trazite dalje. u prvoj polovici 2024. kupio rabljene iphonove za sebe zenu i sestru. platio sam koliko su prodavatelji trazili i nisam trazio popust. tako i ja poslujem. tko nece kupiti po cijeni koju sam oglasio od mene nece kupiti. predmet prodaje apple iphone 11 pro max space gray 64gb 79% zdravlje baterije s novim prednjim kaljenim staklom cijene 295 za slanje payprotectom kupac dobiva u poklon original kutiju 300 za osobno preuzimanje razlog prodaje clan obitelji kupio apple iphone 11 pro max 256gb pa je visak ovaj sa 64gb memorije dodaci se dodatno placaju 5 original kutija s istim imei brojevima kao sto ima mobitel od 10 do 20 punjac vidite oglas sa sifrom 43849960 13 bijele slusalice apple earpods with lightening utor konektor nove nekoristene original apple 6 5 bijele slusalice apple earpods with lightening utor konektor koristene original apple 1 zastitna maskica po izboru kupca ponuda 2 maskice vidljive na zadnjoj fotki 1 2 naljepnice apple 1 upustva i igla za promjenu sim kartice funkcionalnost testirano u travnju 2024. bluetooth radi wi fi radi selfie kamera radi wide kamera radi ultrawide kamera radi telephoto kamera radi bljeskalica radi face id radi zvucnik radi mikrofon radi tipke za pojacavanje i stisavanje zvuka rade icloud odjavljujem svoj racun po prodaji nema nikakve tocke na ekranu. nije ostecen ekran. nije ostecen straznji dio. operativni sustav ios i sve aplikacije azurirao u svibnju 2024. zadnji put se koristio mobitelom u svibnju 2024. za surfanje,43324785,22.06.2024.,322
2,igor1803,oglasivaca,iphone 11 pro max 256 gb,Grad Zagreb,rabljeno,370,256 gb midnight green zdravlje baterije 77% ocuvan uvijek u masci i staklu. prednje staklo nema ni jednu ogrebotinu jer sam uvijek imao zastitno staklo. dolazi u original kutiji s original punjacem i slusalicama kao na slikama. prodajem ga jer sam kupio novi. na poklon dajem maske po izboru. nisam za zamjene.,42936893,21.06.2024.,1536
3,iconnectservis,trgovine,apple iphone 11 pro max 64gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,349,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 11 pro max 64gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno boja green mreze otkljucan na sve mreze zdravlje baterije 83% cijena za gotovinu kartica jednokratno 349 00 cijena za kartice na rate 390 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,44092591,21.06.2024.,279
4,zare6,oglasivaca,iphone 11 pro max 256 gb,Grad Zagreb,rabljeno,500,prodajem koristeni iphone pro max 256 gb u space gray boji u vrhunskom stanju bez ikakvih ostecenja ili ogrebotina nikad nije pao na pod . mobitel ima s prednje i straznje strane zastitu ima zastitu na kameri i cijelo vrijeme je u zastitnoj masci. zdravlje baterije je na 100%. uz njega dolazi originalni punjac slusalice kutija i zastitna maska. za sve upite slobodno se javite.,39685433,20.06.2024.,2681
5,Alpha servis,trgovine,apple iphone 11 pro max 64gb rabljeno rate zamjena 2794,Osječko-baranjska,rabljeno,350,uredjaj apple iphone 11 pro max 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 82% mreze slobodan uredjaj cijena za gotovinu 350 00 cijena za kartice 390 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37360173,20.06.2024.,2025
6,Alpha servis,trgovine,apple iphone 11 pro max 64gb rabljeno rate zamjena 2460,Osječko-baranjska,rabljeno,350,uredjaj apple iphone 11 pro max 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 83% mreze slobodan uredjaj cijena za gotovinu 350 00 cijena za kartice 390 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37149662,20.06.2024.,1644
7,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,trgovine,apple iphone 11 pro max 64gb razne boje garancija zamjena da 256 gb ,Splitsko-dalmatinska,rabljeno,465, sve na jednom mjestu mixshop prodaju se apple iphone 11 pro max mobiteli 64gb interna memorija 6.5 inca display 3969mah baterija koristeni uredjaji perfektno stanje kao novo originalna oprema uvijek na stanju razne boje crni bijeli zlatni zeleni tvornicki otkljucani na sve mreze garancija na sve nase uredjaje svi nasi uredjaji su eu europski modeli vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona radno vrijeme od ponedjeljka do petak 11 00 19 00h vikendom i blagdanima ne radimo osim po prethodnom telefonskom dogovoru mogucnost izlaska u susret za raniji ili kasniji dolazak van naseg radnog vremena takodjer po telefonskom dogovoru. vise od 15 godina sa vama sve na jednom mjestu mixshop. cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine apple iphone 11 series matte space gray crni crna matte silver bijeli bijela matte gold zlatni zlatna matte midnight green zeleni zelena boja256gb 256 gb 64gb 64,43280798,20.06.2024.,94
8,rioglas11,oglasivaca,iphone 11 pro max,Grad Zagreb,rabljeno,300,prodajem iphone 11 pro max u odlicnom stanju. mobitel savrseno radi bez ikakvih problema. boja je space grey siva 64 gb. star nekoliko godina. prodajem jer sam nazalost kupio 15 pro max. maskica uz njega. bateriju sam promjenio prije pola godine tako da drzi preko jednog dana kada se cesto upotrebljava. zvati na mob 099 648 91 63.,44222110,20.06.2024.,257
9,fran276,oglasivaca,iphone 11 pro max 64gb 9 10,Grad Zagreb,rabljeno,290,prodaje se iphone 11 pro max 64gb mobitel je u super stanju. minimalni tragovi koristenja. bez ikakvih ostecenja ili kvarova. radi brzo bez ikakvog usporavanja. potpuno otkljucan i resetiran. baterija 80% jos uvijek bez problema izdrzi cijeli dan. uz mobitel jos dobivate orginalno pakiranje kaljeno staklo maskicu kabel i punjac,44219877,19.06.2024.,274
