,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,Mina83,oglasivaca,iphone 13 pro max 256gb,Istarska,rabljeno,700,na prodaju je iphone 13 pro max 256gb sierra blue u odlicnom stanju. ima orginal kutiju jednu maskicu i racun te skoro 2 godine garancije. baterija je na 87%,43548418,03.06.2024.,217
1,mobiteli-com,oglasivaca,iphone 13 pro max 256gb stanje top bez crtice star 8 22 oprema,Zagrebačka,rabljeno,600,iphone 13 pro max 256gb kao nov bez crtice baterija na 87% star 8 22 racun kabel kutija 600 info inbox ili 098693933 poziv sms viber watsap email 0 24h dostava moze zg kzz zabok osobno po posti hp gls overses dpd,43905468,02.06.2024.,56
2,solidus0,oglasivaca,apple iphone 13 pro max sierra blue 256 gb servisiran kao nov ,Splitsko-dalmatinska,rabljeno,690,prodajem koristen i jako dobro ocuvan iphone 13 pro max sierra blue 256 gb. kupljen 14.6.2022. vrhunski je ocuvan i odrzavan. koristen konstantno u originalnoj appleovoj maskici i doslovno nema ogrebotine na njemu. pocetkom ove godine uredjaj je servisiran u ovlastenom apple servisu preko garancije zbog iznenadnog kvara na maticnoj ploci. u uredjaju je zamijenjeno sve osim ekrana i straznje kamere. dakle radi se o gotovo novom uredjaju sa novim imei brojem i serijskim brojem. kapacitet baterije bi trebao biti 100% jer je na servisu sve zamijenjeno. uredjaj prodajem u originalnoj kutiji sa svom dokumentacijom sa racunom kupljen u hrvatskom telekomu usb c to lightning kabelom bez usb adaptera tako dolazi i originalno originalnom mag safe apple clear case maskicom i sa papirima od servisa. uredjaj prodajem jer sam u medjuvremenu kupio novi iphone.,43517828,02.06.2024.,308
3,stipeST112,oglasivaca,iphone 13 pro max,Splitsko-dalmatinska,rabljeno,600,pozdrav prodajem navedeni uredjaj mobitel je dobro ocuvan nema frizeva baterija je na 84% mobitel je kupljen 5mj 2022 godine u tcoma. sa uredjajem dolaze original punjac i kabel te dvije maskice kontakt putem whatsapp,43714950,02.06.2024.,152
4,mrajkov,oglasivaca,iphone 13 pro max skoro nov,Primorsko-goranska,rabljeno,600,prodajem iphone 13 pro max 10 10 top stanje. maskica i zastitno staklo kupljeni prije mobitela tako da je od prve sekunde zasticen. mazen i pazen. uz njega ide i dodatna oprema u vrijednosti preko 200 . baterija na 86%,43533682,02.06.2024.,245
5,Matvic,oglasivaca,iphone 13 pro max 256gb,Karlovačka,rabljeno,490,256 gb memorije starost 23 mjeseca stanje gotovo kao novo koristen s prvog dana s zastitom ekrana i maskom nikakvi znakovi koristenja primjetni tehnicki i vizualno kao novo stanje baterije je 90 % opseg isporuke originalno pakiranje s brosurom nekoristeni originalni apple kabel za punjenje dodatni kabel za punjenje 3 m s tekstilnom oblogom 1 zastitno staklo novo i jos uvijek nije pricvrsceno 2 zastitna poklopca za kamere nova 3 silikonske maskice koriste se jedna od njih je kompatibilna s magsafe,43902895,02.06.2024.,73
6,stel15,oglasivaca,iphone 13 pro max 128 gb gold,Primorsko-goranska,rabljeno,550,prodajem iphone 13 pro max 128 gb gold star 2 godine maksimalno ocuvan rubovi nemaju nikavih ostecenja od prvog dana je u maskici i sa zastitnim staklom. na njemu je privacy glass uz njega dajem jos 3 obicna zastitna stakla i 2 maskice dolazi u original kutiji punjac zdravlje baterije 86% cijena 550 eur postarina saljem postom tiskom ili osobno preuzimanje u rijeci,43842662,02.06.2024.,445
7,atomo5,oglasivaca,iphone 13 pro max odlicno stanje,Sisačko-moslavačka,rabljeno,580,uz mobitel dajem prozirnu magsafe maskicu kabel za punjenje i kutiju. otkljucan na sve mreze koristen s maskicom i zastitnim staklom od prvog dana. mobitel je kao nov bez ogrebotina. prodaje se zbog kupnje novog mobitela. bez zamjena ne saljem postom.,43693678,02.06.2024.,465
8,nada107,oglasivaca,prodajem iphone 13 pro max,Varaždinska,rabljeno,620,prodajem apple iphone 13 pro max rabljen potpuno ocuvan kupljen u t comu. slika u prilogu. mob 0911514437,43625271,02.06.2024.,152
9,DALMATICO45,oglasivaca,iphone 13 pro max 256 graphitno sivi,Splitsko-dalmatinska,rabljeno,700,iphone 13 pro max 256gb sivo crne boje mobitel perfektno ocuvan nosen u futroli na njemu kaljeno staklo original adapter i kabel za punjenje. baterija 88% cijena je fix.,42403792,02.06.2024.,1011
