,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,aldo40,oglasivaca,iphone 11 pro max space gray 64gb zdravlje baterije 79 posto savrsen,Istarska,rabljeno,295,cijenkanje zadnja cijena niza cijena spustite mi cijenu... ako necete platiti oglasenu cijenu odmah zatvorite ovaj oglas i trazite dalje. u prvoj polovici 2024. kupio rabljene iphonove za sebe zenu i sestru. platio sam koliko su prodavatelji trazili i nisam trazio popust. tako i ja poslujem. tko nece kupiti po cijeni koju sam oglasio od mene nece kupiti. predmet prodaje apple iphone 11 pro max space gray 64gb 79% zdravlje baterije s novim prednjim kaljenim staklom cijene 295 za slanje payprotectom kupac dobiva u poklon original kutiju 300 za osobno preuzimanje razlog prodaje clan obitelji kupio apple iphone 11 pro max 256gb pa je visak ovaj sa 64gb memorije dodaci se dodatno placaju 5 original kutija s istim imei brojevima kao sto ima mobitel od 10 do 20 punjac vidite oglas sa sifrom 43849960 13 bijele slusalice apple earpods with lightening utor konektor nove nekoristene original apple 6 5 bijele slusalice apple earpods with lightening utor konektor koristene original apple 1 zastitna maskica po izboru kupca ponuda 2 maskice vidljive na zadnjoj fotki 1 2 naljepnice apple 1 upustva i igla za promjenu sim kartice funkcionalnost testirano u travnju 2024. bluetooth radi wi fi radi selfie kamera radi wide kamera radi ultrawide kamera radi telephoto kamera radi bljeskalica radi face id radi zvucnik radi mikrofon radi tipke za pojacavanje i stisavanje zvuka rade icloud odjavljujem svoj racun po prodaji nema nikakve tocke na ekranu. nije ostecen ekran. nije ostecen straznji dio. operativni sustav ios i sve aplikacije azurirao u svibnju 2024. zadnji put se koristio mobitelom u svibnju 2024. za surfanje,43324785,02.06.2024.,217
1,Vrtuljak,oglasivaca,iphone 11 pro max,Osječko-baranjska,rabljeno,350,prodajem mobitel stanje 10 10 uz njega dolazi punjac i maska.,43896789,01.06.2024.,38
2,iconnectservis,trgovine,apple iphone 11 pro max 64gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,349,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 11 pro max 64gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno boja gold mreze otkljucan na sve mreze zdravlje baterije 85% cijena za gotovinu kartica jednokratno 349 00 cijena za kartice na rate 390 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41352624,01.06.2024.,136
3,vlatko84,oglasivaca,iphone 11 pro max 256gb kao nov,Grad Zagreb,rabljeno,350,prodajem iphone 11 pro max midnight green 256gb bez i najmanjih tragova koristenja. na mobu je kaljeno i zastitna maskica. uz mobitel dolazi kutija papiri iglica novi punjac. mobitel nikad otvaran popravljan baterija je na 81% ne saljem postom samo osobno preuzimanje.,43607417,01.06.2024.,686
4,Dorian13,oglasivaca,iphone 11 pro max,Varaždinska,rabljeno,250,iphone 11 pro max 64gb dolazi uz orginalnu kutiju dajem punjace maskice slusalice kaljena stakla staklo je bez ogrebotine i radi kao nov baterija na 67% preuzimanje osobno ,43892140,31.05.2024.,62
5,Bloomer,oglasivaca,iphone 11 pro max 64gb,Varaždinska,rabljeno,250,prodajem iphone 11 pro max 64gb odlicno ocuvan nikad padan original apple leather case kaljeno staklo na ekranu kabel usb c na lightning original kutija zdravlje baterije na 80%,43889826,31.05.2024.,51
6,saracevicfilip,oglasivaca,iphone 11 pro max 256gb,Osječko-baranjska,rabljeno,300,mobitel je u odlicnom stanju dolazi s original adapterom i 6 maski. preuzimanje je moguce u osijeku ili vinkovcima.,43680473,31.05.2024.,136
7,ivona2712,oglasivaca,iphone 11 pro max 256gb,Primorsko-goranska,rabljeno,350,prodajem iphone 11 pro max 256gb. zelene boje. stanje 10 10. od prvog dana u maskici i sa zastitnim staklom. zamjene iskljucene. cijena nije fiksna. osobno preuzimanje.,43884015,30.05.2024.,58
8,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,trgovine,apple iphone 11 pro max 64gb razne boje garancija zamjena da 256 gb ,Splitsko-dalmatinska,rabljeno,465, sve na jednom mjestu mixshop prodaju se apple iphone 11 pro max mobiteli 64gb interna memorija 6.5 inca display 3969mah baterija koristeni uredjaji perfektno stanje kao novo originalna oprema uvijek na stanju razne boje crni bijeli zlatni zeleni tvornicki otkljucani na sve mreze garancija na sve nase uredjaje svi nasi uredjaji su eu europski modeli vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona radno vrijeme od ponedjeljka do petak 11 00 19 00h vikendom i blagdanima ne radimo osim po prethodnom telefonskom dogovoru mogucnost izlaska u susret za raniji ili kasniji dolazak van naseg radnog vremena takodjer po telefonskom dogovoru. vise od 15 godina sa vama sve na jednom mjestu mixshop. cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine apple iphone 11 series matte space gray crni crna matte silver bijeli bijela matte gold zlatni zlatna matte midnight green zeleni zelena boja256gb 256 gb 64gb 64,43280798,30.05.2024.,56
9,file003,oglasivaca,iphone 11 pro max,Splitsko-dalmatinska,rabljeno,270,koristen i ocuvan. dolazi sa punjacem i maskicom. na telefonu je novi ekran i baterija. slobodan cloud sve mreze 64gb,42138884,30.05.2024.,611
