,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,ElektronikOutlet,oglasivaca,apple iphone 11 pro novo 99% zdravlje baterije gratis nova mask,Grad Zagreb,rabljeno,390,apple iphone 11 pro 64gb novo perfektno stanje kao novo izlozbeni primjerak originalna oprema kutija i sve ostalo tvornicki otkljucan na sve mreze zdravlje baterije 99% gratis 3d prednje zastitno staklo 3d zastitno staklo kamere nova maskica redovita cijena 590 snizena cijena 390 tel. 095 5197219 moguce preuzimanje u zagrebu ili slanje postom pouzecem na trosak primatelja.,41465341,21.01.2024.,4733
1,josipdelijazg,oglasivaca,iphone 11pro 256gb,Grad Zagreb,rabljeno,350,prodajem iphone 11pro 256gb space gray 10 10. telefon je od prvog dana u masci i kaljenom staklu nema niti jedne ogrebotine. baterija bez problema drzi dan i pol u normalnom koritenju nikad nista nije mjenjano sve na telefonu je original. iskljucivo prodaja bez zamjena prodaje se jer je kupljen novi iphone uz telefon ide sve sto je na slikama za sve druge info sto vas zanima na 0994230423 cijena 350 baterija zdravlje 92% ne saljem postom samo osobna primopredaja zagreb i okolica uz predhodan dogovor pri kupnji obavezna provjera telefona ,42292507,21.01.2024.,1323
2,anja1611,oglasivaca,iphone 11 pro 64gb gold..ispravan ocuvan,Osječko-baranjska,rabljeno,279,star 2.5god u ispravnom i ocuvanom stanju sve ispravno. face id radi icloud odjavljen koristen u masci unatoc kapaciteta baterije od 77% mob i dalje radi savrseno i baterija normalnim koristenjem drzi cijeli dan. garancija 3mjeseca od datuma kupnje cijena fixna 280e tel 098 996 3848,42536583,21.01.2024.,102
3,mata618,oglasivaca,iphone 11 pro,Vukovarsko-srijemska,rabljeno,280,telefon je 10 10 ocuvan..sve ispravno uz mobitel nekoliko maskica..,42551420,21.01.2024.,90
4,tind3,oglasivaca,iphone 11 pro prodaja,Grad Zagreb,rabljeno,250,rabljeni mobitel u odlicnom stanju.,42587819,20.01.2024.,135
5,Cesaar123,oglasivaca,iphone 11 pro 10 10,Istarska,rabljeno,260,mobitel savrseno ocuvan bez tragova koristenja dolazi sa kutijom.,42580981,19.01.2024.,57
6,nikname,oglasivaca,iphone 11 pro 256gb,Zagrebačka,rabljeno,260,jaci model sa 256gb.odlicno stanje ispravan i sve radi. kutija papiri maskica.,42580256,19.01.2024.,189
7,Petar123321,oglasivaca,iphone 11 pro rose gold kao nov,Grad Zagreb,rabljeno,299,na mobitelu radi sve savrseno. face id i kamere rade kao prvog dana. mobitel je skroz otkljucan. uvijek u maskici i sa zastitnim staklom tako da mobitel doslovno nema ogrebotine na sebi.,42574634,18.01.2024.,207
8,Novska Zalagaonica,trgovine, jamstvo iphone 11 pro 64gb 100% bh zalagaonica novska ,Sisačko-moslavačka,rabljeno,369, www.novskazalagaonica.com jamstvo 3 mj od kupnje super stanje 100% zdravlje baterije racun jamstveni list mogucnost zamjene za staro za novo vrijedi za sve nase oglase opcije placanja pouzecem po predracunu internet bankarstvom ili uplatnicom kartice jednokratno i obrocno do 12 rate visa pbz mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne novska zalagaonica potocna ulica 22 novska email novskazalagaonica gmail.com tel 385 95 5757101 molimo ostavite poruku ako nas ne mozete dobiti telefon ,42573189,18.01.2024.,28
9,Gromili,oglasivaca,iphone 11 pro 64 gb space grey boja u odlicnom stanju,Grad Zagreb,rabljeno,380,prodajem iphone 11 pro u boji space gray 64gb. mobitel je u odlicnom stanju od prvog dana je zasticen silikonskom maskom izvana te staklom za zastitu ekrana od ogrebotina i razbijanja. s njim dolazi originalna kutija i kabel za adapter. prilozit cu takodjer do sada koristenu vanjsku maskicu rabljena . uredjaj je vracen na tvornicke postavke a sve funkcionalnosti rade i uredjaj je ispravan. redovito cisceni zvucnici i utori. razlog prodaje je kupnja novije generacije.,42327564,18.01.2024.,820
10,ja031,oglasivaca,iphone 11 pro,Osječko-baranjska,rabljeno,330,mobitel kao novi boja midnight green 64gb baterija 83% lokacija osijek uz iphone ide kutija papiri kabal za punjenje.,42321870,17.01.2024.,155
11,sficko1,oglasivaca,iphone 11pro,Virovitičko-podravska,rabljeno,280,prodajem iphone 11 pro 64gb. mobitel u super stanju od kupnje u originalnoj maski i zastiti ekrana. uz mobitel originalna kutija i crna maska. kapacitet baterije 76%.,42567268,17.01.2024.,58
