,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,seba4b,oglasivaca,iphone 11 pro max 64 gb,Bjelovarsko-bilogorska,rabljeno,330,prodajem navedeni mobitel. zamjenjeno prednje staklo i baterija drzi cjeli dan uz mobitel dajem 2 kabla za punjenje i maskice slike slikane prednjom kamerom nisu ostre napuklo je kaljeno staklo ekran je citav,41401033,02.01.2024.,574
1,MicroStyle,oglasivaca,apple iphone 11 pro max lte 256 gb 4 gb midnight green top stanje,Grad Zagreb,rabljeno,390,apple iphone 11 pro max lte 256 gb 4 gb midnight green prodajem navedeni iphone u odlicnom stanju sva oprema u kutiji maska i kaljeno na njemu. radi besprijekorno nikad nista servisirano ili mijenjano. cijena 390 ,42119921,02.01.2024.,1502
2,jzitkovic,oglasivaca,iphone 11 pro max baterija 85%,Zagrebačka,rabljeno,300,prodajem iphone 11 pro max 64gb space gray. mobitel je u odlicnom stanju sa vrlo malo znakova koristenja. cijelo vrijeme je bio u maski i sa zastitnim staklom. baterija je u vrlo dobrom stanju moze izdrzati 2 dana normalnog koristenja.,42426946,02.01.2024.,60
3,Novska Zalagaonica,trgovine, jamstvo iphone 11 pro max 64gb kao novi trgovina r1 rate,Sisačko-moslavačka,rabljeno,389, www.novskazalagaonica.com jamstvo 3 mj od kupnje zdravlje baterije 100% koristeni artikl stanje 10 10 sto dolazi u paketu originalna kutija mogucnost kupnje zastitnog stakla zastitne maske 9 99 kabel 1 0m za punjenje racun jamstveni list mogucnost zamjene za staro za novo vrijedi za sve nase oglase opcije placanja pouzecem po predracunu internet bankarstvom ili uplatnicom kartice jednokratno i obrocno do 12 rate visa pbz mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne novska zalagaonica potocna ulica 22 novska email novskazalagaonica gmail.com tel 385 95 5757101 molimo ostavite poruku ako nas ne mozete dobiti telefon ,42094674,02.01.2024.,85
4,XEROS,oglasivaca,iphone 11 pro max 64 gb gold,Grad Zagreb,rabljeno,300,prodajem iphone 11 pro max 64gb boja gold kupljen u 11 2019. mobitel je u super stanju bez ostecenja. uz njega dolazi kutija punjac adapter i kabel maskica novo zastitko staklo te racun. molim bez zamjena. cijena je fixna te za spustanje molim ne zovite primopredaja u zagrebu ili saljem postom zamjene iskljucene. oglas nije prodan sve dok je aktivan.,42413558,02.01.2024.,75
5,lukaaa19m,oglasivaca,iphone 11 pro max 64gb gold,Grad Zagreb,rabljeno,270,iphone 11 pro max 64gb gold uz njega kutija punjac par maskica. ocuvan radi sve osim gornjeg zvucnika dakle poziv se cuje na spikerfonu ili na slusalicama iz nepoznatog razloga ne radi zvuk gore dolje da. sve drugo dobro.,42412549,01.01.2024.,92
6,Biljananikola,oglasivaca,apple iphone 11 pro max 64gb,Brodsko-posavska,rabljeno,450,mobitel je u extra stanju maximalno ocuvan prvi i jedini vlasnik uvjek sa zastitnim staklom i zastitnom maskom od prvog dana carbon folija koja je danas skinuta tako da telefon nema na lajsni nikakvih tragova koriscenja. zdravlje baterije 76% baterija i dalje dobro drzi cijeli dan ili u zavisnosti od koriscenja. mobitel se koristi normalno sve ispravno. prodaja ili zamjena za noviji samo osobno preuzimanje,42411601,01.01.2024.,28
7,baske-pula,oglasivaca,iphone 11 pro max 256 gb,Istarska,rabljeno,320,iphone 11 pro max 256 gb nema ogrebotine uvijek u zastitnoj maskici. sve ispravno imam punjac kabel original adapter nije original. nalazi se u puli. preferiram osobnu primopredaju. zamjene me ne zanimaju.,42406778,31.12.2023.,60
8,jureduje,oglasivaca,iphone 11 pro max 64gb,Sisačko-moslavačka,rabljeno,270,s mobitelom je sve odlicno samo sto mu se dok pricate na telefon jako slabo cuje zvuk los je gornji zvucnik ali dok gledate video zvuk radi sasvim normalno ekran je malo krcnut sto je vidljivo na slikama. uz njega dobijete kutiju i originalne slusalice i maskicu. moze zamjena za iphone 12 i vise,42404803,30.12.2023.,45
9,scoterv,oglasivaca,iphone 11 pro max 256gb,Grad Zagreb,rabljeno,350,sve radi kao i prvog dana nema ogrebotina kamera jos uvijek odlicna face id sve radi moguce isprodati u zagrebu,42403835,30.12.2023.,185
