,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,JAWA350,oglasivaca,iphone 12 pro,Krapinsko-zagorska,rabljeno,390,prodaje se navedeni mobitel pacific blue star 2 god stanje 10 10 bez ogrebotine zdravlje baterije 84% 128 gb zamjene me ne zanimaju,42432795,03.01.2024.,12
1,misomisic10,oglasivaca,iphone 12 pro 128 gb crni kao nov,Grad Zagreb,rabljeno,450,iphone 12 pro 128gb space gray bez ostecenja,42432547,03.01.2024.,8
2,zovime,oglasivaca,iphone 12 pro 128gb graphite 10 10 kao novi,Grad Zagreb,rabljeno,430,prodajem iphone 12 pro o 128 gb memorije u tamnoj crne boje. mobiteli u savrsenom stanju bez i najmanjeg traga koristenja kao sto se moze vidjeti na slikama uredjaja. uredjaj je star dvije godine zdravlje baterije moj na 86% kapaciteta. moguce je svaka provjera uredjaja.,41198009,03.01.2024.,1526
3,iMOBILE,trgovine, prodajem apple iphone 12 pro sve mreze garancija ,Vukovarsko-srijemska,rabljeno,520, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 12 pro kupljen kao slobodan uredjaj 86% zdravlje baterije radi na sve mreze graphite boja ocuvan uz mobitel ide kutija usb kabal sim iglica garancija 3mj. racun ne saljem tiskom cijena 520 00 3.917 94kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590,42132324,03.01.2024.,299
4,mark1224,oglasivaca,iphone 12 pro 128gb gold,Grad Zagreb,rabljeno,400,iphone 12 pro 128gb gold stanje odlicno zdravlje baterije 86% face id i sve ostalo radi uz mobitel dolazi kutija 400 091 503 7140,42296087,03.01.2024.,404
5,Sanjin707,oglasivaca, iphone 12 pro 256gb odlicno stanje moguca zamjena ,Primorsko-goranska,rabljeno,420,iphone 12 pro 256gb stanje je 9.5 10 jer je rabljen.. tvornicki na sve mreze.. zdravlje baterije 87% kutija kabel mob maskica.. cijena 420 eura fixno moguca je zamjena za samsung uredjaj s22 s23 s23 plus ultra.. moja vasa doplata 0995602277,42241353,03.01.2024.,311
6,smart_8888,oglasivaca,apple iphone 12 pro 256gb blue kao novi baterija 100% sve mreze,Primorsko-goranska,rabljeno,500,apple iphone 12 pro 256 gb pacific blue kao novi zdravlje baterije 100% radi na sve mreze. moze se pruzeti u rijeci ili saljemo dpd om.,42263585,03.01.2024.,144
7,Sabs10,oglasivaca,iphone 12 pro 256 gb,Istarska,rabljeno,650,prodajem savrseno ocuvan iphone 12 pro 256 gb zdravlje baterije 89% original kutija i neotpakiran kabl za punjenje. 7 maskica gratis,40674984,03.01.2024.,551
8,Dorasven1,oglasivaca,iphone 12 pro 128gb,Međimurska,rabljeno,460,iphone 12pro,42431302,03.01.2024.,14
9,FilipVincek,trgovine,iphone 12 pro 128gb pacific blue odlicno stanje,Grad Zagreb,rabljeno,389,prodajem koristeni iphone 12 pro sa 128gb memorije pacific blue boje uredjaj je kozmeticki skoro pa u savrsenom stanju izuzev 2 malie ogrebotine na ekranu vidljivo na zadnjoj slici . od prvog dana u zastitnoj maskici i sa zastitnim staklom. okvir i zadnje staklo bez ikakvih ogrebotina. takodjer sve radi savrseno kamere zvucnici face id wi fi gps... zdravlje baterije je na 80%. cijena je fiksna. uredjaj dolazi bez kutije. saljem postom. osobno preuzimanje moguce u zagrebu. kontakt 0957384689 preferiram whatsapp ,42411367,03.01.2024.,141
10,eltrondd,oglasivaca,iphone 12 pro 128gb ko novi sve mreze 100% bat dostava,Grad Zagreb,rabljeno,490,iphone 12pro black 128gb mobitel doslovce ko novi baterija 100% tvornicki odkljucan na sve mreze dolazi sa novim brzim punjacem moguca dostava ,35673968,03.01.2024.,5808
11,Sarenakuca2023,oglasivaca,iphone 12 pro 256 gb,Splitsko-dalmatinska,rabljeno,450,zdravlje baterije 79%. jedini razlog manje cijene. top stanje mobitela.,42430489,03.01.2024.,18
12,sek,oglasivaca,iphone 12 pro 256 gb pacific blue,Osječko-baranjska,rabljeno,520,iphone 12 pro 256 gb 87% kapacitet baterije pacific blue. u odlicnom stanju bez ikakvih tragova ostecenja stanje 10 10 od prvog dana u maskici i zastitnom staklu. uz mobitel ide kutija kabel za punjenje spigen zastitna maskica i zastitno staklo 1 zastitno staklo dodatno gratis. 1. vlasnik mobitel kupljen u svicarskoj. molim bez ponuda za zamjene.,42072276,02.01.2024.,250
13,Filip_72,oglasivaca,iphone 12 pro,Bjelovarsko-bilogorska,rabljeno,450,super stanje bez ogrebotine baterija na 84% nova zastitna folija i nova prozirna maska original slusalice 3 punjaca 1 original novi svi dokumenti kutija i ostalo original,42350473,02.01.2024.,80
14,pitroid7,oglasivaca,iphone 12 pro 128gb graphite 2 maskica kao novo racun jamstvo ,Grad Zagreb,rabljeno,419,iphone 12 pro 128gb graphite mobitel je u doslovno besprijekornom stanju pogledajte sve fotografije u galeriji od prvog dana u maskici i jos uvijek sa kaljenim staklom. sve originalno i tvornicki. 2 maskice na poklon kutija kompletna kabel radi na sve mreze preuzimanje u zagrebu 0923875559,42355523,02.01.2024.,509
15,Minnizmajo,oglasivaca,iphone 12 pro 128gb nova baterija,Splitsko-dalmatinska,rabljeno,499,mobitel je maximalno ocuvan dolazi uz kutiju i kabel za punjenje. radi na sve mreze stavljena je nova baterija vise info na 0953513552,42408865,02.01.2024.,22
16,Rocky0305,oglasivaca,i phone 12 pro,Grad Zagreb,rabljeno,420,i phone 12 pro kao nov bez ogrebotine sa brzim punjacem i zastitnom maskom,42414534,02.01.2024.,63
17,Ana_mm,oglasivaca,iphone 12 pro graphite 128gb stanje top baterija 86%,Splitsko-dalmatinska,rabljeno,500,iphone 12 pro graphite 128gb stanje top baterija 86% radi na sve mreze 500 0917896654,42254901,02.01.2024.,124
18,mark1224,oglasivaca,iphone 12 pro 10 10 kao nov,Grad Zagreb,rabljeno,420,iphone 12 pro 128gb graphite stanje 10 10 kao nov zdravlje baterije 87% face id i sve ostalo radi kutija i maskica 420 091 503 7140,42301297,02.01.2024.,89
19,Dandric007,oglasivaca,iphone 12 pro 256 gb space grey,Grad Zagreb,rabljeno,370,iphone 12 pro 256 gb originalna kutija slusalice punja stanje batterije 86 % u odlicnom stanju.,42413903,02.01.2024.,113
20,mance1985,oglasivaca,iphone 12 pro 256gb,Primorsko-goranska,rabljeno,470,prodajem baterija 87% magnetna maskica za punjenje i staklo na mobitelu. potpuno funkcionalan i uredan uredjaj. crne boje. za ostale informacije moze poziv whatsapp ili viber.,42258829,02.01.2024.,74
21,pstimaciphone,oglasivaca,iphone 12 pro 256gb top stanje,Grad Zagreb,rabljeno,450,prodajem iphone 12 pro 256gb. mobitel je od prvog dana u zastitnoj masci i folija na ekranu tako da je kao novi. dolazi sa svom pripadajucom opremom kutijom i papirima. zdravlje baterije 88% bez zamjene. lokacija zagreb,42347511,02.01.2024.,521
22,Smart Doctor,trgovine,apple iphone 12 pro 128gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,520,uredjaj apple iphone 12 pro 128gb stanje uredjaja rabljeno baterija 84% pisana garancija uz svaki uredjaj mreze slobodan uredjaj cijena za gotovinu 520 00 cijena za kartice 715 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija smart doctor servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste diners do 36 rata visa premium do 12 rata u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,41613265,02.01.2024.,288
23,Smart Doctor,trgovine,apple iphone 12 pro 128gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,520,uredjaj apple iphone 12 pro 128gb stanje uredjaja rabljeno baterija 83% pisana garancija uz svaki uredjaj mreze slobodan uredjaj cijena za gotovinu 520 00 cijena za kartice 610 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija smart doctor servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste diners do 36 rata visa premium do 12 rata u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,41514012,02.01.2024.,493
24,Smart Doctor,trgovine,iphone 12 pro 128gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,520,uredjaj iphone 12 pro 128gb stanje uredjaja rabljeno baterija 83% pisana garancija uz svaki uredjaj mreze slobodan uredjaj cijena za gotovinu 520 00 cijena za kartice 682 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija smart doctor servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste diners do 36 rata visa premium do 12 rata u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,41472235,02.01.2024.,360
