,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,vkhp1,oglasivaca,iphone 12 promax 256g,Grad Zagreb,rabljeno,550,iphone 12 pro max graphite koristen no u dobrom stanju jedino ima na prednjem ekranu malu ogrebotinu jedva vidljivu.mobitel je u potpunosti obrisan i spreman za koristenje.,42486034,10.01.2024.,16
1,sxpf1,oglasivaca,iphone 12 pro max 128 gb pacific blue,Grad Zagreb,rabljeno,650,iphone 12 pro max 128 gb pacific blue sa kutijom i kabelom c na lightning 2 maske spigen i casetify. od prvog dana u maski i kaljeno stalko. baterija na 90%.,42486032,10.01.2024.,10
2,nord3v,oglasivaca,iphone 12 max pro 128gb,Primorsko-goranska,rabljeno,370,prodajem iphone 12 pro max 128 gb kao nov bez ogrebotina. koristen 2 godine. zdravlje baterije 72%. prodajem ga jer sam kupio novi iphone 15 samo osobna primopredaja,42485692,10.01.2024.,25
3,aphr0dite,oglasivaca,iphone 12 pro max 128gb,Koprivničko-križevačka,rabljeno,500,mobitel odlicno ocuvan stanje vidljivo na slikama. zdravlje baterije na 83%. resetiran icloud odjavljen. face id i sve ostale funkcije ispravne. neotvaran sve na njemu originalno. uz uredjaj idu kutija kabel za punjenje i maskica. na ekranu je kaljeno staklo. dostupno sve dok je oglas aktivan. cijena je fiksna zamjene me ne zanimaju. nalazim se u koprivnici.,42485766,10.01.2024.,12
4,Alpha servis,trgovine,apple iphone 12 pro max 128gb rabljeno rate zamjena 2336,Osječko-baranjska,rabljeno,600,uredjaj apple iphone 12 pro max 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 85% mreze slobodan uredjaj cijena za gotovinu 600 00 cijena za kartice 660 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37220322,10.01.2024.,1567
5,Alpha servis,trgovine,apple iphone 12 pro max 128gb rabljeno rate zamjena 2331,Osječko-baranjska,rabljeno,600,uredjaj apple iphone 12 pro max 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 83% mreze slobodan uredjaj cijena za gotovinu 600 00 cijena za kartice 660 00 zdravlje baterije 86% svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,34862577,10.01.2024.,1676
6,Zukiizz,oglasivaca,apple iphone 12 pro max 128gb silver,Grad Zagreb,rabljeno,400,prodajem iphone 12 pro max sa 128gb memorije u silver boji. uvijek nosen u maskici bez ostecenja. baterija 79% sva oprema u kutiji. moze i zamjena,42485377,10.01.2024.,36
7,btl,oglasivaca,iphone 12 pro max 128 gb bijeli kao nov,Grad Zagreb,rabljeno,600,prodajem koristeni iphone 12 pro max bijeli u stanju novog zvati na broj 0955701406,42425205,10.01.2024.,222
8,smart_8888,oglasivaca,apple iphone 12 pro max 256gb graphite kao novi oprema sve mreze,Primorsko-goranska,rabljeno,520,apple iphone 12 pro max 256 gb graphite kao novi s originalnom opremom radi na sve mreze. zdravlje baterije 85%. moze se pruzeti u rijeci ili saljem dpd om.,42449013,10.01.2024.,47
9,smart_8888,oglasivaca,apple iphone 12 pro max 256gb blue kao novi oprema sve mreze 88% bat,Primorsko-goranska,rabljeno,550,apple iphone 12 pro max 256 gb pacific blue kao novi s opremom maskicom. zdravlje baterije 88% radi na sve mreze. moze se preuzeti u rijeci ili po dogovoru.,42001278,10.01.2024.,330
10,iconnectservis,trgovine,apple iphone 12 pro max 128gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,479,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 12 pro max 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno boja bijela mreze otkljucan na sve mreze zdravlje baterije 81% cijena za gotovinu kartica jednokratno 479 00 cijena za kartice na rate 550 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,42334365,10.01.2024.,289
11,mateo-ri96,oglasivaca,iphone 12 pro max,Primorsko-goranska,rabljeno,500,iphone 12 pro max 128 gb space gray mobitel je kao nov maskica i zastitno staklo od prvog dana bez crtice baterija 82% cijena 500 0977149821,39261510,10.01.2024.,694
12,Smart Doctor,trgovine,apple iphone 12 promax 512gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,680,uredjaj apple iphone 12 promax 512gb stanje uredjaja rabljeno jamstvo na uredjaj 3 mj. baterija 86% pisana garancija uz svaki uredjaj mreze slobodan uredjaj cijena za gotovinu 680 00 cijena za kartice 748 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija smart doctor servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste diners do 36 rata visa premium do 12 rata u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,42336698,10.01.2024.,104
13,petarmartic1,oglasivaca,iphone 12 pro max,Grad Zagreb,rabljeno,345,256gb memorije t com racun originalna kutija otkljucan na sve mreze poklon originalna apple maskica zdravlje baterije 78% najjeftiniji na njuskalu,42483421,10.01.2024.,115
14,FilipVincek,trgovine,iphone 12 pro max 128gb odlicno stanje,Grad Zagreb,rabljeno,439,prodajem koristeni iphone 12 pro max sa 128gb memorije pacific blue boje uredjaj je kozmeticki skoro pa u savrsenom stanju izuzev malih ogrebotina na 2 kuta vidljivo na slikama . od prvog dana u zastitnoj maskici i sa zastitnim staklom. zaslon skroz netaknut na njemu je jos uvijek zastitno staklo . takodjer softverski sve savrseno radi kamere zvucnici face id wi fi gps... zdravlje baterije je na 80%. uz uredjaj dolazi original kutija usb a na lightning kabl te crna maskica. saljem postom. osobno preuzimanje moguce u zagrebu. kontakt 0957384689 preferiram whatsapp ,42367680,10.01.2024.,572
15,iconnectservis,trgovine,apple iphone 12 pro 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,449,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 12 pro 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 83% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 449 00 cijena za kartice na rate 530 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41236594,10.01.2024.,500
16,Wonka24,oglasivaca,iphone 12 pro max,Grad Zagreb,rabljeno,600,odlicno stanje sitni tragovi koristenja,39379007,10.01.2024.,671
17,St2709,oglasivaca,iphone 12 pro max 128gb,Splitsko-dalmatinska,rabljeno,400,prodajem ispravan i ocuvan iphone 12 pro max kuciste kao novo. baterija kapacitet 82%. uz mobitel ide punjac s kabelom.,42280924,09.01.2024.,308
18,dvukovic77,oglasivaca,iphone 12 pro max 128gb crni space grey odlicno stanje otkljucan,Požeško-slavonska,rabljeno,450,iphone 12 pro max 128gb crne graphite boje u odlicnom stanju s ponekom sitnom ogrebotinom i tragom koristenja. potpuno ispravan tvornicki otkljucan. baterija 89 %. stanje 9 5 10. telefon dolazi u originalnoj kutiji s lightning kabelom i original apple slusalicama na poklon.,42480679,09.01.2024.,30
19,Dino-28,oglasivaca,iphone 12 pro max 256gb crni space grey odlican otkljucan ispravan,Grad Zagreb,rabljeno,430,iphone 12 pro max 256gb crne graphite boje u odlicnom stanju eventualno s ponekom ogrebotinom i tragom koristenja. potpuno ispravan tvornicki otkljucan. telefon dolazi u originalnoj kutiji s kabelom uz novu maskicu i zastitno staklo. telefon je dostupan dok je objavljen. uzimam i ostalo pod racun.,42478637,09.01.2024.,298
20,maki1985,oglasivaca,iphone 12 pro max 128gb,Splitsko-dalmatinska,rabljeno,499,prodaje se 12 pro max u izvrsnom stanju bez ogrebotine zasticen tempered glass om uvijek u zastitnoj masci. uz mobitel 7 maskica originalna kutija i kabel. zvati na 097 797 1971,42244888,09.01.2024.,300
21,tristan_969,oglasivaca,iphone 12 pro max 256gb plavi,Grad Zagreb,rabljeno,430,prodajem iphone 12 pro max 256gb plave boje savrseno ocuvan bez ikakvih ostecenja i ogrebotina. od prvog dana u masci i sa kaljenim staklom. kapacitet baterije 83% kao sto se vidi na slici. nisam zahtjevan korisnik i baterija mi traje 2 dana. uz mobitel ide kutija kabl dodatnih 7 kaljenih stakla 7 maski i originalne slusalice.,42396560,09.01.2024.,605
