,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,marko_ri13,iphone 13 128gb,Primorsko-goranska,rabljeno,450,iphone 13 128gb u odlicnom stanju od prvog dana u maskici sa screen protectorom. kupljen u 11. mjesecu 2021. dolazi s usb c to lightning kabelom na telefonu je belkin ultraglass screen protector baterija na 92% kapaciteta nema ogranicenja za mreze. kontakt putem viber wapp na 091 168 8365 zadnja cijena,42001601,23.11.2023.,121
1,lea226,iphone 13 128 gb top stanje,Grad Zagreb,rabljeno,490,iphone 13 od 128 gb u crnoj boji star cca godinu i pol u super stanju s baterijom od 88%. dolazi s kutijom i kabelom za punjenje.,41638042,23.11.2023.,1985
2,imikulcic,apple iphone 13 128gb pink,Zagrebačka,rabljeno,600,prodajem iphone 13 128gb pink. mobitel je u odlicnom stanju baterija je na 89%. kupljen je u 03. mjesecu 2022.god. ima jedva vidljivu ogrebotinicu na ekranu. bez zamjena molim.,41249398,23.11.2023.,114
3,Macri23,iphone 13 blue 128gb gratis 2 maskice,Grad Zagreb,rabljeno,650,prodaje se iphone 13 blue 128gb uz gratis 2 maskice. malo koristeno te u izvrsnom i ocuvanom stanju,42085910,23.11.2023.,64
4,Tomominirent,iphone 13 tvornicko stanje maskice,Grad Zagreb,rabljeno,470,iphone 13 sa 128 gb u stanju novog zdravlje baterije na 90 posto sve radi. mobitel je super ocuvan. napoklon 6 maskica i vise otkljucan na sve mreze zvati na 0919433530,40022350,23.11.2023.,3216
5,smoke9,iphone 13 128gb kao nov,Grad Zagreb,rabljeno,500,prodajem iphone 13 128gb roze boje. mobitel ima samo jednu crticu na donjem dijelu kucista. ostalo besprijekorno. zdravlje baterije 89%. otkljucan icloud racun. uz mobitel dajem punjac i kabel. kontakt pozivi sms whatsapp njuskalo.,42093158,23.11.2023.,11
6,kov_st,iphone 13 prodaja,Splitsko-dalmatinska,rabljeno,700,mobitel je u savrsenom stanju od prvog dana u futroli koristen godinu dana. za ostale informacije kontakt na whatsapp.,42092945,23.11.2023.,9
7,Potrci,iphone 13 od 256gb midnight radi na sve mreze stanje vrhunsko,Grad Zagreb,rabljeno,560,koristen uglavnom za razgovore sve radi uredno radi na sve mreze 091 092 095 097 098 099. ide u original ambalazi sa komplet opremom koristen uvijek u maskici stanje uredjaja je 10 10. zdravlje baterije je na 92% slike u priligu. moze zamjena za jeftiniji mobitel i doplata moze se pogledati i preuzeti u zg a sve po dogovoru pozivom na broj iz oglasa.,41843567,23.11.2023.,960
8,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 13 256gb red crveni top novo novoo garancija zamjena da,Splitsko-dalmatinska,rabljeno,755,sve na jednom mjestu mixshop prodaje se apple iphone 13 mobitel 4gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze uvijek na stanju razne boje svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine,41386702,23.11.2023.,47
9,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 13 128gb black crni top novo novoo garancija zamjena da,Splitsko-dalmatinska,rabljeno,720,sve na jednom mjestu mixshop prodaje se apple iphone 13 mobitel 4gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze uvijek na stanju razne boje svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine,41386723,23.11.2023.,91
