,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,mile2234,iphone 12 256gb savrseno ocuvan 10 10,Splitsko-dalmatinska,rabljeno,450,prodajem iphone 12 256gb ocuvan koristen 18 mj. bez i najmanjeg znaka koristenja. zdravlje baterije na 86%.,41961816,23.11.2023.,115
1,zlomi,iphone 12,Bjelovarsko-bilogorska,rabljeno,250,iphone 12 64 gb baterija nova ali zamjenska ugradjena 10.11.23. bez zamjena molim nazvati na mob 098802082,42094097,23.11.2023.,15
2,nencha,iphone 12 128 gb,Varaždinska,rabljeno,360,iphone 12 128 gb black mobitel u stanju 10 10 bez ogrebotine od prvog dana u maski prvi vlasnik kutija oprema uz njega kabel za punjenje star 2 god.kapacitet baterije na 85% gratis silikonska maska crna bez zamjena,42093942,23.11.2023.,10
3,pitroid7,iphone 12 64gb black odlicno stanje maskica kutija ,Grad Zagreb,rabljeno,319,iphone 12 64gb crne boje ocuvan u jako dobrom stanju od prvog dana u maskici poklanjam i jos uvijek sa kaljenim staklom uz uredjaj ide i originalna kutija preuzimanje osobno u zagrebu 0923875559,42093578,23.11.2023.,11
4,Potrci,iphone 12 bijele boje 64gb radi na sve mreze ispravan 100%,Grad Zagreb,rabljeno,350,koristen uglavnom za razgovore sve radi uredno radi na sve mreze 091 092 095 097 098 099. ide u original ambalazi sa komplet opremom koristen uvijek u maskici stanje uredjaja je 10 10. zdravlje baterije je na 84% slike u priligu. moze se pogledati i preuzeti u zg a sve po dogovoru pozivom na broj iz oglasa.,41778802,23.11.2023.,1226
5,pilot22,iphone 12 128 gb kupljen u t com,Krapinsko-zagorska,rabljeno,430,prodajem iphone 12 kupljen u 11 21 u hrvatskom telekomu. mobitel je u ispravnom stanju s originalnom kutijom i punjacem. mobitel prodajem jer je kupljen novi i ne upotrebljava se vise. mogu poslati i pouzecem.,42023405,23.11.2023.,71
6,dmiocic,iphone 12 64gb besprijekoran bez tragova koristenja,Grad Zagreb,rabljeno,410,iphone 12 64gb besprijekoran bez tragova koristenja samo poziv,42052757,23.11.2023.,116
7,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 12 128gb black crni kao nov icloud zakljucan ,Splitsko-dalmatinska,rabljeno,259, sve na jednom mjestu mixshop prodaje se apple iphone 12 128gb mobitel koristen uredjaj perfektno stanje kao novo ako na slikama ima sitnih tockica to je samo prasina icloud zakljucan znaci trebate ga otkljucati ili za dijelova black crna boja 128 gb interna memorija slike su originalne na uvid o detaljnom stanju uredjaja ne radimo servis i otkljucavanja i uredjaje prodajemo u stanju u kakvom smo ih dobili vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,40121633,23.11.2023.,1986
8,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 12 64gb ljubicasti sva oprema garancija baterija 91% ,Splitsko-dalmatinska,rabljeno,620, sve na jednom mjestu mixshop prodaje se apple iphone 12 64gb mobitel 6.1 inca display 4k kamera 64 gb interna memorija 2815mah baterija koristen mobitel sitni tragovi koristenja zdravlje baterije 91% purple ljubicasta boja originalna oprema tvornicki otkljucan na sve mreze garancija na sve nase uredjaje takodjer na stanju imamo i drugih raznih boja novih i koristenih uredjaja vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine,36537007,23.11.2023.,1350
9,dex5,iphone 12 128 gb mint boja plus apple watch 3 series,Grad Zagreb,rabljeno,500,prodajem iphone 12 128gb mint boja baterija na 86%. mobitel je doslovno kao nov. uvijek bio u maskici i sa zastitnim staklom. na ekranu nema crtice ostecenja. uz mobitel dolazi kutija punjac s kablom i adapterom. sve kupljeno original u istyle u ovlasteni iphone ducan . prodaje se iskljucivo radi kupnje novog modela. cijena iphone a 500eura. uz iphone prodajem apple watch 3 series 38mm. potpuno nov nema ogrebotine nosen 5 puta od kad je kupljen. uz sat dolazi kutija i punjac. cijena apple watch a 60eura. cijena u kompletu 530 eura. mobitel i sat se nalaze u zagrebu. zagreb zvati na broj 095 921 4985.,41614135,23.11.2023.,834
