,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,smoke9,iphone 11 pro max 256gb,Grad Zagreb,rabljeno,400,prodajem iphone 11 pro max 256gb sivi. manji znakovi koristenja na staklu. izvorni dijelovi i sve radi. zdravlje baterije 76%. otkljucan icloud racun. uz mobitel dajem kutiju punjac kabel i maskice. kontakt pozivi sms whatsapp njuskalo.,42093164,23.11.2023.,9
1,Alpha servis,apple iphone 11 pro max 64gb rabljeno rate zamjena 2024,Osječko-baranjska,rabljeno,450,uredjaj apple iphone 11 pro max 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 98% mreze slobodan uredjaj cijena za gotovinu 450 00 cijena za kartice 500 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37360173,23.11.2023.,1209
2,Alpha servis,apple iphone 11 pro max 64gb rabljeno rate zamjena 2011,Osječko-baranjska,rabljeno,450,uredjaj apple iphone 11 pro max 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 82% mreze slobodan uredjaj cijena za gotovinu 450 00 cijena za kartice 500 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37149662,23.11.2023.,790
3,Alpha servis,apple iphone 11 pro max 64gb rabljeno rate zamjena 2043,Osječko-baranjska,rabljeno,450,uredjaj apple iphone 11 pro max 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 87% mreze slobodan uredjaj cijena za gotovinu 450 00 cijena za kartice 500 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,30188130,23.11.2023.,3764
4,iconnectservis,apple iphone 11 pro max 64gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,399,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 11 pro max 256gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 100% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 399 00 cijena za kartice na rate 450 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,40562332,23.11.2023.,550
5,Ivica1981,iphone 11 pro max 64 gb,Krapinsko-zagorska,rabljeno,340,mobitel je kao nov. kutija punjac dvije maskice na ekranu je kaljeno staklo baterija 86%.,41886716,22.11.2023.,116
6,16k01,iphone 11 pro max,Primorsko-goranska,rabljeno,400,prodajem iphone 11 pro max 256 gb crne boje u perfektnom stanju bez ogrebotina.prodajem ga sa punjacem i kutijom.,41728124,22.11.2023.,157
7,lukaaa19m,iphone 11 pro max 64gb gold,Grad Zagreb,rabljeno,330,iphone 11 pro max 64gb gold uz njega kutija punjac par maskica. ocuvan radi sve osim gornjeg zvucnika dakle poziv se cuje na spikerfonu ili na slusalicama iz nepoznatog razloga ne radi zvuk gore dolje da. sve drugo dobro.,42088568,22.11.2023.,55
8,miha302,iphone 11 pro max 256gb,Grad Zagreb,rabljeno,460,prodajem iphone 11 pro max space gray. mobitel je u odlicnom stanju i radi kao prvoga dana. kupljen 2019. u istyle u. kapacitet baterije je 86% i kolicina memorije 256gb. nosen sa zastitnom maskom i stakalcem cijelo vrijeme a uz njega poklanjam i novi tempered glass. moze se doci pogledati uzivo.,41789622,22.11.2023.,899
9,lunarea,iphone 11pro max sa 14 maskica,Zagrebačka,rabljeno,400,prodajem uscuvan u savrsenom top stanju iphone 11pro max 64 gb bez ostecenja. uz njega dajem 14 maskica i zastitna stakla. zdravlje baterije 87%. malo koristen kao novi.,42088341,22.11.2023.,58
