,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,Zalagaonica sesvete,iphone 14 pro max 128 gb u trgovini,Grad Zagreb,rabljeno,889,u super stanju racun i garancija od 17.01.2023. 128 gb boja gold baterija 98% mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionica,42051983,23.11.2023.,239
1,smarkus1,iphone 14 pro max space black,Krapinsko-zagorska,rabljeno,950,iphone 14 pro max 128 gb. stanje vidljivo na slikama. bez ostecenja jer je od prvog dana u zastitnoj maskici i s kaljenim staklom. zdravlje baterije na 97%. ima sve sto u originalu dolazi uz mobitel kutiju usb kabel sve papire racun. garancija vrijedi do 06.02.2024 god. mob. 098 351 525,42057849,23.11.2023.,62
2,Zalagaonica Dubrovnik,iphone 14 pro max 128gb garancija,Dubrovačko-neretvanska,rabljeno,855,phone 14 pro max 128gb uredjaj je koristen. ima crtu vidljivu na ekranu koja ne smeta pri koristenju uredjaja. apple garancija je od 7 23. uredjaj dolazi bez kutije i punjaca. baterija 100% memorija 128gb boja crna kartica rate 950 00 gotovina. 855 00 slanje gls ili osobno preuzimanje u poslovnici.,41740273,23.11.2023.,190
3,davor09022001,maske za iphone 14 pro max,Osječko-baranjska,rabljeno,60,prodajem komplet sve maskice za iphone 14 pro max. nalaze se i dvije original kozne od appla. vidljivi tragovi koristenja na kozi ostale sve ne ostecene. osobno ili postom.,42093707,23.11.2023.,17
4,Zalagaonica sesvete,iphone 14 pro max 256 gb kao nov u trgovini,Grad Zagreb,rabljeno,979,kao nov racun i garancija od 28.05.2023. 256 gb boja space black baterija 99 % mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionica,41636289,23.11.2023.,1176
5,Sanmarko1991,apple iphone 14 pro max 128 gb baterija 99% na sve mreze radi,Osječko-baranjska,rabljeno,950,kratko koristen visak i vise se ne koristi stanje top baterija na 99%. radi na sve mreze moze se koristit u inozemstvu... jamstvo do 2 mjeseca 24. ovo se isplati kupit. u okolici moguca dostava,42048530,23.11.2023.,73
6,Duje234,iphone 14 pro max 256 gb,Splitsko-dalmatinska,rabljeno,930,uredan malo ostecenje u gornjem desnom kutu ali nista strasno. uz mobitel ide i punjac.,42092398,23.11.2023.,16
7,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro max 128gb purple top novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1130, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro max mobitel 6gb ram 128gb interna memorija 6.7 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386395,23.11.2023.,48
8,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro max 256gb crni top novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1240, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro max mobitel 6gb ram 256gb interna memorija 6.7 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386388,23.11.2023.,83
9,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro max 512gb gold top novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1330, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro max mobitel 6gb ram 512gb interna memorija 6.7 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386365,23.11.2023.,63
