,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,MVariantg6,iphone 14 pro 256gb,Koprivničko-križevačka,rabljeno,650,prodajem iphone 14 pro 256gb 90% baterija star 1god i 1 2mj nosen u maski ovo sto se vidi na slici iza je zastitno staklo poledjine. mobitel je upao izmedju vratiju i ostetio se ekran u donjem cosku. na rad mobitela uopce ne utjece to ostecenje a pod koljenim staklom se i ne vidi. kad vidite uzivo pola se toga ni ne primjeti kao sto je izrazeno na slici. ostalo sve ispravno i bez ijedne mane. spreman za rad. mobitel im svu opremu koja dolazi s mobitelom. moguca dostava zg odredjenim danima samo cash bez ikakvih zamjena. cijena vise nego fiksna. kontakt 0998743263,42041955,23.11.2023.,553
1,iKelePRO,iphone 14 pro 256gb space black,Grad Zagreb,rabljeno,980,prodajem iphone 14 pro 256gb memorije u space black boji u crnoj boji . mobitel je u savrsenom stanju bez vidljivih tragova koristenja. kupljen u a1 krajem 02 2023 godine te ima vazecu garanciju. dolazi sa kutijom i racunom kaljenim staklom na ekranu i maskom. zdravlje baterije je na 99% kapaciteta. moguca svaka provjera uredjaja.,41588456,23.11.2023.,914
2,Hrvac12,iphone 14 pro 256gb silver koristen kao nov baterija 97%,Grad Zagreb,rabljeno,880,mobitel kupljen u 9. mjesecu 2022 kupljen je u a1 slovenija otkljucan na sve mreze na mobitelu sve ispravno i radi savrseno slobodno se sve isproba 256gb memorije silver boja baterija 97% prodaje se jer nije potreban cijena je 880 eura dostava po dogovoru hvala 099 8388 037 ako je oglas aktivan mobitel nije prodan,42052331,23.11.2023.,290
3,Zalagaonica sesvete,iphone 14 pro 128 gb u trgovini,Grad Zagreb,rabljeno,819,iphone 14 pro racun i garancija od 28.02.2023. 128 gb boja silver baterija 94 % mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionica,40127007,23.11.2023.,3215
4,Zalagaonica sesvete,iphone 14 pro 128 gb u trgovini,Grad Zagreb,rabljeno,839,iphone 14 pro racun i garancija od 26.07.2023. 128 gb boja gold baterija 100 % mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionic,42091754,23.11.2023.,38
5,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro 1tb 1000gb kao novo garancija sve boje zamjena da,Splitsko-dalmatinska,rabljeno,1345, sve na jednom mjestu mixshop prodaju se apple iphone 14 pro 1tb 1000gb mobiteli 1000 gb interna memorija 6.1 inca display 48mp kamera 3200mah baterija kratko koristeni i gotovo nekoristeni mobiteli perfektno stanje kao novo novoo sva originalna oprema kutija i sve ostalo uvijek na stanju razne boje pisana ovjerena garancija trgovine tvornicki otkljucani na sve mreze vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona,40478286,23.11.2023.,210
6,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro 256gb gold top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1185, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro mobitel 6gb ram 256gb interna memorija 6.1 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386449,23.11.2023.,56
7,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro 512gb bijeli top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1320, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro mobitel 6gb ram 512gb interna memorija 6.1 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386441,23.11.2023.,43
8,zovime,iphone 14 pro 128gb space black kupljen 06.04.2023,Grad Zagreb,rabljeno,850,prodajem iphone 14 pro od 128 gb memorije u crnoj boji. kao sto se moze vidjeti na slikama od uredjaja u uredjaj je u savrsenom stanju bez ikakvih tragova koristenja. kupljen je u 4. mjesecu te ima vazecu apple garanciju. imao je problem sa kamerom te je nedavno nosen u istyle servis pod jamstvom radi reklamacije koja je odobrena te je uredjaj porovljan. od tada se nije vise koristio kupljen je drugi uredjaj. ima sve papire od servisa. zdravlje baterije je na 95% kapaciteta. sve ja sada ispravno na uredjaju te je moguca svaka provjera uredjaja.,42029104,23.11.2023.,292
9,mang0,iphone 14 pro purple 128gb leather case 100% garancija godinu i pol,Međimurska,rabljeno,950,prodajem iphone 14 pro 128 gb deep purple koristen 3 4 mjeseca. original kutija usb c i usb a kabel. baterija na 100% bez ijedne ogrebotine od pocetka sa zastitnim staklom i maskicom. 3 maskice 1 original apple magsafe kozna narancasta i 2 silikonske crna i zuta nisu original . 1 novo zastitno staklo. kupljen u ht u garancija vrijedi jos godinu i pol. zamjena moze jedino za 14 pro max deep purple 256gb u istom stanju kao sto je moj uz moju nadoplatu. preuzimanje moze u cakovcu zagrebu ili rijeci. saljem postom na trosak kupca. cijena je fiksna.,41552606,23.11.2023.,274
10,iconnectservis,apple iphone 14 pro 128gb rabljeno jamstvo do 20.09.2024 do 36 rata,Osječko-baranjska,rabljeno,949,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro 128gb jamstvo na uredjaj jamstvo do 20.09.2024 stanje uredjaja rabljeno zdravlje baterije 100% boja grey mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 949 00 cijena za kartice na rate 1.050 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,42072779,23.11.2023.,47
11,iconnectservis,apple iphone 14 pro 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,909,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 91% boja crni mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 909 00 cijena za kartice na rate 1.000 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41704002,23.11.2023.,312
12,iconnectservis,apple iphone 14 pro 128gb crni rabljeni do 36 rata zamjena,Osječko-baranjska,rabljeno,909,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro 128gb jamstvo na uredjaj 05.04.2024 stanje uredjaja rabljeno boja crni mreze otkljucan na sve mreze zdravlje baterije 91% cijena za gotovinu kartica jednokratno 939 00 cijena za kartice na rate 970 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,40639397,23.11.2023.,1203
13,iconnectservis,apple iphone 14 pro 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,909,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 94% boja crni mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 909 00 cijena za kartice na rate 1.000 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41703995,23.11.2023.,370
14,xaka,iphone 14 pro 128gb,Zagrebačka,rabljeno,800,iphone 14 pro 128gb mobitel kao nov bez ostecenja uz njega sva oprema kao i kad je kupljen punjac kutija i 5 maske dajem uz njega ide na sve mreze star je 12 mjeseci cijena 800 poziv sms 0977645055,42010939,23.11.2023.,392
15,kapibara,iphone 14 pro,Zagrebačka,rabljeno,900,128 gb. kupljen u 3.mjesecu u a1. bez tragova koristenja stanje identicno novom. kaljeno staklo na ekranu od prvog dana. zdravlje baterije 98%. zamjene ne preferiram.,42091077,23.11.2023.,35
16,xsellx,iphone 14 pro 512 gb crni,Grad Zagreb,rabljeno,899,prodajem iphone 14 pro 512 gb. boja space black. koristen uscuvan. original kutija i kabel za punjenje. kupljen u hgspot u 15.09.2022. kapacitet baterije 88%. bez zamjena iskljucivo prodaja.,41996131,23.11.2023.,817
17,sajunara,iphone 14 pro 128gb garancija racun kutija,Grad Zagreb,rabljeno,820,prodajem iphone 14 pro 128 gb sa garancijom racun kutija zdravlje baterije 96% gratis maskica mobitel je ispravan i ekran ocuvan ima iza malo ostecenje. bez zamjena.,41583315,22.11.2023.,1093
