,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,anja1611,iphone 11 pro 64gb gold..ispravan ocuvan,Osječko-baranjska,rabljeno,330,star 2.5god u ispravnom i ocuvanom stanju sve ispravno. face id radi icloud odjavljen koristen u masci unatoc kapaciteta baterije od 77% mob i dalje radi savrseno i baterija normalnim koristenjem drzi cijeli dan. cijena fixna 330e tel 098 996 3848,42021864,23.11.2023.,84
1,Vito_Dicic,iphone 11 pro,Grad Zagreb,rabljeno,350,rabljeni iphone 11 pro. koristeni mobitel u dobrome stanju. zdravlje baterije je 77%. mobitel ima 256 gigabyta memorije. sitne ogrebotine na staklu. rad mobitela je besprijekoran. ne dolazi uz punjac.,42089015,22.11.2023.,55
2,ElektronikOutlet,apple iphone 11 pro novo 99% zdravlje baterije gratis nova mask,Grad Zagreb,rabljeno,390,apple iphone 11 pro 64gb novo perfektno stanje kao novo izlozbeni primjerak originalna oprema kutija i sve ostalo tvornicki otkljucan na sve mreze zdravlje baterije 99% gratis 3d prednje zastitno staklo 3d zastitno staklo kamere nova maskica redovita cijena 590 snizena cijena 390 tel. 095 5197219 moguce preuzimanje u zagrebu ili slanje postom pouzecem na trosak primatelja.,41465341,22.11.2023.,1995
3,konjkojipass,iphone 11pro 256gb,Grad Zagreb,rabljeno,300,prodajem navedeni mobitel u vrlo dobrom stanju .razlog prodaje je sto sam nabavio novi mobitel .kutiju nemam posto je mobitel kod mene od 2019 pa je najvjerovatnije u smecu zavrsila .sve je vidljivo na slikama i stanje je takvo .,42071958,22.11.2023.,104
4,anitasavuk,iphone 11 pro 64g,Grad Zagreb,rabljeno,340,prodajem iphone 11 pro. 64g zlatni. uredjaj u potpunosti ispravan bez poteskoca u radu. nema niti jednu ogrebotinu. u maskici od prvog dana. uz mobitel ide originalna kutija mobitela punjac za mobitel i po zelji stara zastitna silikonska maskica na poklon.,39442354,21.11.2023.,3671
5,eltrondd,iphone 11 pro 256gb space gray sve mreze 100% bat dostava,Grad Zagreb,rabljeno,390,iphone 11 pro 256gb gray mobitel ko novi tvornicki odklj na sve mreze nova orginal baterija 100% dolazi sa brzim punjacem moguca dostava 0996707567,41523155,21.11.2023.,1582
6,As123123,iphone 11 pro 256 gb,Zagrebačka,rabljeno,330,iphone 11 pro 256gb super stanje bez ogrebotine iclaud odjavljen uz mobitel maskica.,41911392,21.11.2023.,308
7,gonoa,iphone 11 pro 64gb,Zagrebačka,rabljeno,380,prodajem jedva koristen iphone 11 pro od 64gb. vracen je potpuno na tvornicke postavke i nema sim karticu. battery life je 91%. u stanju je kao nov ne steka i sve u potpunosti radi. prodajem jer sam uzeo 13icu. javiti se na poruke whatsapp.,42057994,21.11.2023.,56
8,Lorencovuki,iphone 11 pro 256gb,Koprivničko-križevačka,rabljeno,300,prodajem iphone 11 pro 256gb mob star 2 god u dobrom stanju baterija 82% face id radi uz mob dolaze kutija i maskica cijena 300 nije fix moguca zamjena za 14 pro razbit od iza hvala,42057484,20.11.2023.,63
9,Novska Zalagaonica, jamstvo iphone 11 pro 64gb 93% u trgovini zalagaonica novska,Sisačko-moslavačka,rabljeno,389, www.novskazalagaonica.com jamstvo 3 mj od kupnje zdravlje baterije 93% super stanje kao novi sto dolazi u paketu originalna kutija mogucnost kupnje zastitnog stakla zastitne maske 9 99 kabel 1 0m za punjenje adapter brzi type c racun jamstveni list mogucnost zamjene za staro za novo vrijedi za sve nase oglase opcije placanja pouzecem po predracunu internet bankarstvom ili uplatnicom kartice jednokratno i obrocno do 12 rate visa pbz mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne novska zalagaonica potocna ulica 22 novska email novskazalagaonica gmail.com tel 385 95 5757101 molimo ostavite poruku ako nas ne mozete dobiti telefon ,42056098,20.11.2023.,38
