,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,lukaema,iphone 11 64gb bijeli,Grad Zagreb,rabljeno,220,ispravan original kutija i kabel sve mreze sve ispravno funkcionalno zadnja strana ima puknuce na stolu pao mi prije godinu i pol tanjur na mobitel srecom bio licem dolje . takodjer prednje staklo zamijenjeno novim zamjena radjena u sluzbenom servisu iako izgleda nije original staklo. kapacitet baterije 74%.,41612428,23.11.2023.,789
1,Tomominirent,iphone 11 64b top stanje,Grad Zagreb,rabljeno,250,iphone 11 u super stanju sve radi fantasticno zdravlje baterije na 92 posto. kutija punjac uz njega. zvati na 0919035243,40022374,23.11.2023.,2169
2,Amigo94,iphone 11 64gb,Koprivničko-križevačka,rabljeno,210,prodajem iphone 11 64gb mobitel je u dobrom stanju. vidljivi mali tragovi koristenja. baterija drzi cijeli dan.,42066478,23.11.2023.,47
3,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,iphone 11 green zeleni kao nov garancija zamjena da baterija 85%,Splitsko-dalmatinska,rabljeno,435, sve na jednom mjestu mixshop prodaje se apple iphone 11 mobitel kratko koristen uredjaj perfektno stanje kao novo originalna oprema kutija i sve ostalo zdravlje baterije 85% tvornicki otkljucan na sve mreze garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona,35411159,23.11.2023.,1161
4,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 11 64gb yellow zuti kao nov garancija zamjena da 64gb,Splitsko-dalmatinska,rabljeno,435, sve na jednom mjestu mixshop prodaje se apple iphone 11 64gb 64 gb mobitel kratko koristen uredjaj perfektno stanje kao novo originalna oprema kutija i sve ostalo tvornicki otkljucan na sve mreze garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona,35410524,23.11.2023.,1051
5,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 11 128gb red crveni kao nov garancija zamjena da 128 gb,Splitsko-dalmatinska,rabljeno,495, prodaja otkup zamjena zalagaonica sve na jednom mjestu mixshop prodaje se apple iphone 11 128gb 128 gb mobitel kratko koristen uredjaj perfektno stanje kao novo originalna oprema kutija i sve ostalo tvornicki otkljucan na sve mreze garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona takodjer na stanju imamo i sve originalne mobitele od najstarijih do najnovijih cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine moze i razna vrsta zamjene uz nasu ili vasu nadoplatu kako se dogovorimo.,35410473,23.11.2023.,1174
6,Alpha servis,apple iphone 11 128gb rabljeno rate zamjena 2033,Osječko-baranjska,rabljeno,370,uredjaj apple iphone 11 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca . originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 85% mreze slobodan uredjaj cijena za gotovinu 370 00 cijena za kartice 410 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,33528433,23.11.2023.,2647
7,Alpha servis,apple iphone 11 64gb rabljeno rate zamjena 2056,Osječko-baranjska,rabljeno,340,uredjaj apple iphone 11 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 83% mreze slobodan uredjaj cijena za gotovinu 340 00 cijena za kartice 380 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata .. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,32839521,23.11.2023.,3822
8,Alpha servis,apple iphone 11 64gb rabljeno rate zamjena 2027,Osječko-baranjska,rabljeno,340,uredjaj apple iphone 11 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 83% mreze slobodan uredjaj cijena za gotovinu 340 00 cijena za kartice 380 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,30613926,23.11.2023.,3818
9,iMOBILE,prodajem apple iphone 11 64gb sve mreze garancija,Vukovarsko-srijemska,rabljeno,280, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 11 64gb kupljen kao slobodan uredjaj 83% zdravlje baterije radi na sve mreze ljubicasta boja ocuvan uz mobitel ide kutija punjac usb kabal sim iglica garancija 3mj. racun ne saljem tiskom cijena 280 00 2.109 66kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590,41276679,23.11.2023.,690
10,iMOBILE,prodajem apple iphone 11 sve mreze garancija 3mj.,Vukovarsko-srijemska,rabljeno,320, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 11 64gb kupljen kao slobodan uredjaj 85% zdravlje baterije radi na sve mreze bijela boja ocuvan max. uz mobitel ide kutija punjac usb kabal sim iglica garancija 3mj. racun ne saljem tiskom cijena 320 00 2.411 04kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 98 911 6590,41921867,23.11.2023.,232
11,Minnizmajo,iphone 11 64gb baterija na 100%,Splitsko-dalmatinska,rabljeno,270,mobitel je maksimalno ocuvan radi na sve mreze stavljena je nova baterija dolazi uz kutiju i punjac dostupan je crni s novom baterijom 330e i dostupan je crni s baterijom na 88% 270e vise info na 0953513552,41650553,23.11.2023.,314
12,eltrondd,iphone 11 64gb crni sve mreze bat 100% dostava,Grad Zagreb,rabljeno,299,iphone 11 64gb mobitel doslovce ko novi tvornicki odklj na sve mreze nova orginal baterija 100% dolazi sa brzim punjacem moguca osobna dostava zg ostatak hr hpexpress ili gls 0996707567,37101234,23.11.2023.,6738
13,markocalic1,iphone 11 64gb,Splitsko-dalmatinska,rabljeno,220,mobitel u veoma dobrom stanju. prodaja zbog kupnje novog.,41813326,23.11.2023.,102
14,robilee,iphone 11 128 gb,Primorsko-goranska,rabljeno,300,iphone 11 128 gb jako ocuvan bez ogrebotine. zastitno staklo i maskica od prvog dana. ide u original kutiji. zdravlje baterije 79%. ne gasi se ali ga je potrebno punit preko noci. mijenjam ga zato jer je visak.,41677870,23.11.2023.,277
15,SvenNovoselic,iphone 11 space grey,Osječko-baranjska,rabljeno,230,prodajem navedeni mobitel u super stanju na njemu sve radi bez greske crna boja 64gb uz njega kutija i maskica u kojoj je nosen. bez zamjena iskljucivo prodaja.,42089058,23.11.2023.,22
16,Nikaaa123,iphone 11,Grad Zagreb,rabljeno,210,prodajem iphone 11 128 gb,42088543,22.11.2023.,86
17,sole1998,iphone 11 64gb,Grad Zagreb,rabljeno,235,prodajem crni iphone 11 64 gb zdravlje baterije 74% dolazi u original kutiji no bez slusalica. adapter za punjac ukljucen no bez kabla. na slikama vidljivi tragovi koristenja kupljen u t comu 1.7.2020. na mobitelu sve radi normalno prodaje se zbog kupnje novog modela. maskica gratis uz kupnju. 0995480440,42088331,22.11.2023.,68
18,lunarea,iphone 11 kao novi,Zagrebačka,rabljeno,280,prodajem ipone 11 64 gb top u savrsenom stanju bez ogrebotina malo koristen. kao novi. zdravlje baterije 85%,42087962,22.11.2023.,56
19,GMT,iphone 11 128 gb,Grad Zagreb,rabljeno,350,iphone 11 128 gb kao nov bez ostecenja. preuzimanje u zagrebu,39239018,22.11.2023.,541
20,Snjezanakolovoz,apple iphone 11 64gb crni,Osječko-baranjska,rabljeno,320,stanje mobitela kao novo bez ogrebotina kupljen u servisu prije godinu dana uz mobitel idu 4 maskice i kabel nije original zdravlje baterije 83%,42086910,22.11.2023.,16
21,ElektronikOutlet,apple iphone 11 novo 99% zdravlje baterije gratis 3d,Grad Zagreb,rabljeno,390,apple iphone 11 64gb perfektno stanje kao novo izlozbeni primjerak originalna oprema kutija i sve ostalo apple case apple fast charger 3d kaljeno prednje zastitno staklo 3d staklo za kameru tvornicki otkljucan na sve mreze zdravlje baterije 99% redovita cijena 590 snizena cijena 380 tel. 095 5197219 moguce preuzimanje u zagrebu ili slanje postom pouzecem na trosak primatelja.,41414861,22.11.2023.,2259
22,eventum,apple iphone 11 black 64gb dodaci maskice... ,Grad Zagreb,rabljeno,280,prodajem maksimalno ocuvani iphone 11 black 64gb u kompletu s maskicom s nosacem za automobil futrolom za iphone 11 integriranu s novcanikom quad lock maskicom za iphone 11 zastitnim staklom punjacem i original pakiranjem. zamijenjen je novom 14 icom pa je visak. sve radi kako treba kamera mic... skinut s iclouda ,41766261,22.11.2023.,428
23,Cimbo2,iphone 11 128 gb crni,Zagrebačka,rabljeno,300,prodajem iphone 11 128gb black. mobitel je koristen jako dobro ocuvan. uredjaj je od prvog dana koristenja u preklopnoj torbici nema ostecenja niti ogrebotina. uredjaj je star 2 i pol godine prodajem zbog kupnje novog. zdravlje baterije 82%,41375358,22.11.2023.,613
24,anja1611,iphone 11 64 gb top stanje 10 10,Osječko-baranjska,rabljeno,300,iphone 11 64 gb mobitel ko nov bez tragova koristenja i ogrebotina 10 10 isprvan i ocuvan baterija 85% cijena fixna,41997531,22.11.2023.,138
25,panijanp,iphone 11 64gb,Grad Zagreb,rabljeno,200,prodajem mob. iphone 11 64gb bijele boje. mob. nema ostecenja osim sitnih tragova koristenja. baterija je na 74%.,42073289,22.11.2023.,94
26,FrViNi,iphone11 64gb,Grad Zagreb,rabljeno,290,iphone11 64gb nema nikakvih ostecenja zdravlje baterije 85%,42072507,22.11.2023.,58
27,ibasic1,iphone 11 64gb baterija na 93% 200 eura fiksno,Grad Zagreb,rabljeno,200,prodajem iphone 11 crni 64gb kutija original maska i punjac stanje odlicno baterija original na 93% ekran je mijenjan i pise u postavkama da nije original ali face id radi i sve radi moze se sve isprobati cijena je fiksna 200 eura,42072464,22.11.2023.,99
28,Bobo6969,iphone 11 64gb,Grad Zagreb,rabljeno,200,prodajem iphone 11 64gb bijeli mobitel nema nikakva ostecenja uvijek nosena maskica i zastitno staklo mobitel vracen na tvornicke postavke i otkljucan za sve mreze uz mobitel dajem original slusalice i zamjenski kabel za punjenje poklanjam maskice koje imam slobodno uzmes sve ili biras koje zelis poklanjam nastavak kojim je omoguceno istovremeno slusanje glazbe i punjenje mobitela stanje baterije 74% moze slanje postom kupac snosi troskove dostave ili osobnim preuzimanjem na podrucju zagreba za vise informacija zvati na broj 0955730366,42070764,22.11.2023.,108
29,Ta-Na,iphone 11 iphone se,Primorsko-goranska,rabljeno,350,prodajem iphone 11 64gb u odlicnom stanju koristen manje od godinu dana bez ikakve ogrebotine i ostecenja. idealan kao poklon za nadolazece blagdane zdravlje baterije je 97% 350 takodjer prodajem i iphone se 64 gb isto bez ogrebotine i ostecenja. zdravlje baterije 90% jako malo koristen 170 preuzimanje u rijeci i okolici. tel 0953950785,42069669,21.11.2023.,37
30,nn7b1,iphone 11 64gb gratis 3 maskice kaljeno staklo spy proof ,Grad Zagreb,rabljeno,290,prodajem iphone 11 razlog kupio sam novi mobitel mobitel ima kaljeno staklo odostraga radi kao novi stanje odlicno 64gb stanje baterije 84%. maskice i kaljeno na poklon. cijena nije fiksna.,42069289,21.11.2023.,90
31,mat2755,iphone 11 64gb crni,Grad Zagreb,rabljeno,220,prodajem iphone 11 sa 64gb memorije kapacitet baterije je 74% dolazi sa orginalnom kutijom mobitel dolazi bez punjaca face id radi otkljucan na sve mreze icloud otkljucan i vracen na tvornicke postavke. ima par ogrebotina po rubovima i malo je izlizan zadnji ekran zbog maskice ali prednje staklo nema ogrebotina,42067404,21.11.2023.,141
32,egal,iphone 11 64gb,Grad Zagreb,rabljeno,270,mobitel maksimalno uscuvan i sa minimalnim tragovima koristenja. nova zamjenska baterija.,42067208,21.11.2023.,78
33,ivkoni,iphone 11 90% baterija,Grad Zagreb,rabljeno,270,prodajem iphone 11 64gb i 90% zdravlje baterije.sve radi na telefonu baterija nije menjana face id radi i nema nikakvih ostecenja.,42066540,21.11.2023.,93
