,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,MA000R,oglasivaca,iphone 14 pro max purple 256 gb,Splitsko-dalmatinska,rabljeno,930,prodajem navedeni mobitel. koristen je 3 mjeseca. uz mobitel se dobije racun kutija 3 maskice te sva pripadajuca oprema iskljucivo osobno preuzimanje 097 751 2920,41515597,20.12.2023.,219
1,medeni20,oglasivaca,iphone 14 pro max 128gb kao nov gratis punjac i maskice,Splitsko-dalmatinska,rabljeno,980,980 kao nov moguce zamjene garancija do 15.12.2023. sve mreze gratis punjac i maskica zdravlje baterije 99% preuzimanje split solin kastela sinj i okolica info 0912754444 ne odg na njuskalo poruke,42239903,20.12.2023.,67
2,lepusko,oglasivaca,iphone 14 pro max black,Virovitičko-podravska,rabljeno,1000,prodajem iphone 14 pro max 128 gb crni kupljen u a1 racun garancija. mobitel u odlicnom stanju bez ikakvih ostecenja koristen cijelo vrijeme sa kaljenim staklom na mobitelu spigenovo kaljeno staklo i maskicom. uz mobitel 7 maskica i dodatno novo spigenovo kaljeno staklo spigen glastr ez fit .,42336883,20.12.2023.,9
3,Horvat14,oglasivaca,iphone 14 pro max 128gb,Osječko-baranjska,rabljeno,920,mobitel je kupljen 26.04.2023 te je pod garancijom do 26.04.2024. zdravlje baterije je na 96%. mobitel je jako dobro ocuvan bez ikakvih tragova koristenja. uz njega poklanjam dvije maskice i kaljeno staklo.,42222270,20.12.2023.,80
4,Horvat14,oglasivaca,iphone 14 pro max 256gb,Osječko-baranjska,rabljeno,900,prodajem iphone 14 pro max mobitel je kao sto se vidi na slikama u savrsenom stanju uvijek koristen sa maskom i kaljenim staklom. zdravlje baterije je 89% kupljen je 28.10.2022 uz mobitel poklanjam tri zapakirana kaljena stakla te dvije maske. u kutiji je sve kao u originalnom pakiranju plus racun.,41781421,20.12.2023.,422
5,iconnectservis,trgovine,apple iphone 14 pro max 128gb rabljeno,Osječko-baranjska,rabljeno,949,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 128gb jamstvo na uredjaj jamstvo 07.05.2024. stanje uredjaja rabljeno zdravlje baterije 99% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 949 00 cijena za kartice na rate 1.100 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com slicni oglasi,41807912,20.12.2023.,691
6,iconnectservis,trgovine,apple iphone 14 pro max 256gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,969,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 256gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 87% boja ljubicasti mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 969 00 cijena za kartice na rate 1.100 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,42106497,20.12.2023.,423
7,Win1s3,oglasivaca,iphone 14 pro max 256 gb space black kao novo garancija,Splitsko-dalmatinska,rabljeno,900,kao nov stanje 10 10. od prvog dana zastitno staklo i maskica. koristen 9 mj. garancija do 2 mj 2024. bez zamjena . cijena 900 kutija i sva oprema. poklanjam original punjac ,42298286,20.12.2023.,83
8,OpgMiron,oglasivaca,iphone 14 pro max,Sisačko-moslavačka,rabljeno,900,prodajem iphone 14 pro max star 8 mjeseci garancija do 04 2024 kutija papiri i ostala oprema,41992977,20.12.2023.,263
9,OpgMiron,oglasivaca,iphone 14 pro max 256gb,Sisačko-moslavačka,rabljeno,1100,prodajem iphone 14 pro max 256gb star 10 mjeseci baterija 98% kutija papiri racun i garancija,41870442,20.12.2023.,121
10,zovime,oglasivaca,iphone 14 pro max 128gb 5 23 100%,Grad Zagreb,rabljeno,900,prodajem iphone 14 pro max od 128 gb memorije u crnoj boji. mobitel je u savrsenom stanju bez i najmanjeg traga koristenja sa zastitnim staklom od prvog dana na ekranu uredjaja i u maskici. uredjaj je kupljen u 5. mjesecu ove godine te ima aktivnu garanciju. uredjaj radi na sve mreze. na uredjaju nikada nista nije mijenjalo u popravljeno te je sve ispravno. zdravlje baterije na 100% kapaciteta. uredjuje krace vrijeme koristen u poslovne svrhe od strane starije zenske osobe. moguce je svaka provjera uredjaja,41948302,20.12.2023.,1686
11,arabellarubi,oglasivaca,iphone 14 pro max 128gb gold,Grad Zagreb,rabljeno,900,prodajem iphone 14 pro max gold kao novi star 11 mjeseci,42329006,20.12.2023.,128
12,RiBoksi,oglasivaca,iphone 14 pro max,Primorsko-goranska,rabljeno,750,prodajem iphone 14 pro max telefon je kao nov kupljen u 4 mjesecu 2023 baterija 100 posto kutija racun boja crna 128gb,42334437,20.12.2023.,50
13,Greensideffect,oglasivaca,iphone 14 pro max 128gb silver zamjena,Varaždinska,rabljeno,899,prodajem iphone 14 pro max 128gb silver. mobitel je bez najmanjeg traga koristenja kao nov. zamjena moguca iskljucivo za samsung iphone uredaje koji su bez znakova koristenja sa svom opremom i pripadajucom dokumentacijom. garancija i racun 8 24 zdravlje baterije 100% cijena uredjaja je fiksna kontakt broj 0953848010 moguce slanje overseasom ili gls om pouzecem,42334227,20.12.2023.,21
14,publicgymm,oglasivaca,iphone 14 pro max 256gb space black zamjena,Varaždinska,rabljeno,879,prodajem iphone 14 pro max 256gb space black. mobitel je bez najmanjeg traga koristenja kao nov. zamjena moguca iskljucivo za samsung iphone uredaje koji su bez znakova koristenja sa svom opremom i pripadajucom dokumentacijom. zdravlje baterije 94% cijena uredjaja je fiksna kontakt broj 0953848010 moguce slanje overseasom ili gls om pouzecem,42334173,20.12.2023.,25
15,publicgymm,oglasivaca,iphone 14 pro max 256gb gold zamjena,Varaždinska,rabljeno,879,prodajem iphone 14 pro max 256gb gold. mobitel je bez najmanjeg traga koristenja kao nov. zamjena moguca iskljucivo za samsung iphone uredaje koji su bez znakova koristenja sa svom opremom i pripadajucom dokumentacijom. zdravlje baterije 91% cijena uredjaja je fiksna kontakt broj 0953848010 moguce slanje overseasom ili gls om pouzecem,42334166,20.12.2023.,18
16,Sanmarko1991,oglasivaca,apple iphone 14 pro max 128 gb baterija 99% na sve mreze radi,Osječko-baranjska,rabljeno,950,kratko koristen visak i vise se ne koristi stanje top baterija na 99%. radi na sve mreze moze se koristit u inozemstvu... jamstvo do 2 mjeseca 24. ovo se isplati kupit. u okolici moguca dostava,42048530,20.12.2023.,378
17,Hrvoje_K,oglasivaca,iphone 14 pro max 1tb space black odlicno stanje,Grad Zagreb,rabljeno,1200,prodajem top verziju mobitela iphone 14 pro max kapaciteta 1tb boja space black u odlicnom stanju. telefon je kupljen u ovlastenom apple store ducanu u zagrebu u rujnu 2022 za 2500 eur. sa telefonom dolazi originalna kutija sa originalnim kablom nekoristen te skenirani racun. telefon je kupljen otkljucan tj. radi na svim mrezama a na njemu je zadnji ios verzije 17. stanje baterije je 93%. cijena je fiksna a zamjene iskljucene. lokacija zagreb trg francuske republike .,41796165,20.12.2023.,121
18,Frigoterma d.o.o.,trgovine,iphone 14 pro max 128gb deep purple,Vukovarsko-srijemska,rabljeno,950,prodaje se iphone 14 pro max 128gb rabljeno deep purple cijena za gotovinu 950 00 cijena za kartice na rate 1.045 00 jamstvo 20.04.2024. mogucnost obrocne otplate diners mogucnost placnja do 36rate erste mogucnost placanja do 12 rate slatinska mogucnost do 12 rata agram mogucnost do 12 rata nova hrvatska mogucnost do 12 rata kent banka mogucnost do 12 rata istarska kreditna banka umag d.d. sve ostale informacije na 097 777 0 333,42208003,20.12.2023.,130
19,barabarabara,oglasivaca,iphone 14 pro max,Grad Zagreb,rabljeno,1030,prodajem mobitel u izvrsnom stanju star godinu dana. ostecenja nema niti u najmanjoj mjeri a baterija je na 100%.,42333689,20.12.2023.,35
20,matosevic0852,oglasivaca,iphone 14 pro max,Istarska,rabljeno,850,prodajem navedeni uredjaj. kupljen krajem 08mjeseca 2023. aktiviran 01.09.23 od kad i tece garancija. baterija mu je na 97% neznam zasto sa softverom se tako dogodilo. od prvog dana kaljeno staklo i maskica. kaljeno imam jos jedno rezervno. zlatna boja iako vise izgleda kao bijela ali ajde . mobitel koristim i nisam stavio slike dok ne vidim da nekoga zanima.,42333650,20.12.2023.,24
21,Lucija-Eleonora,oglasivaca,black space iphone 14 pro max 256gb,Grad Zagreb,rabljeno,1100,prodajem iphone 14 pro max 256gb. mobitel je star 10mjeseci ima garanciju jos 2 mjeseca. kupljen je u istyle u. kapacitet baterije je 97%. od kad je kupljen zasticen je kaljenjim staklom. nema nikakva ostecenja i radi savrseno. uz njega se dobije kutija originalni kabel i apple ov adapter kupljen u istyle u. na poklon 7 maskica i novo kaljeno staklo.,42331650,19.12.2023.,78
22,sinco99ish,oglasivaca,iphone 14 pro max 10 10 bez ijedne crtice bat.99% garancija 900 ,Grad Zagreb,rabljeno,920,iphone 14 pro max bijeli savrseno stanje 10 10 bez ijedne crtice uvijek uz zastitno staklo i case 128gb baterija na 99% racun garancija do 24.01.24 920 091 7662702,42331606,19.12.2023.,78
23,2fastforyou,oglasivaca,apple iphone 14 pro max 128gb silver racun garancija,Krapinsko-zagorska,rabljeno,940,rabljen mobitel bez tragova koristenja...stanje 10 10 zdravlje baterije 97%..,42331564,19.12.2023.,21
24,trgovacc,oglasivaca,iphone 14 pro max,Grad Zagreb,rabljeno,880,prodajem rabljeni crni iphone 14 pro max 128gb u stanju kao novo. mobitel je kupljen u 10. mjesecu 2022. u ht u. baterija je na 94% kapaciteta na zaslonu je zastitno kaljeno staklo od prvog dana na kameri je zastitno staklo nosen u masci od prvog dana. uz mobitel poklanjam spigen masku. mobitel je potpuno ispravan i neostecen. radi prirode mog posla molio bih da mi se za prvi kontakt javite preko poruke u njuskalo aplikaciji pa se dogovorimo za poziv. razlog prodaje je kupnja novog iphonea. zamjene me ne zanimaju.,42331293,19.12.2023.,108
25,onestopshop,oglasivaca,apple iphone 14 pro max 256gb deep purple sve mreze zamjena ,Varaždinska,rabljeno,799,prodajem apple iphone 14 pro max u deep purple boji sa 256 gb memorije. zdravlje baterije 89% uz mobitel ide crna spigen maskica placena 40 eura. cijena 800 fixno mogucnost osobnog preuzimanja u varazdinu zagrebu ili saljem hp expressom overseas expresom po cijeloj hrvatskoj. kontakt vito.reviews gmail.com kontaktiraj oglasivaca zvati ili sms imessage u bilo koje doba 0953747184 broj prilozen na njuskalo profilu. takodjer molim kada saljete ponudu za zamjenu da u tekstu navedete bitne podatke o vasem uredjaju kao sto su tocan model starost stanje papiri racun garancija ovjerena oprema sto sve ide uz uredjaj gdje se nalazite gdje bi se nasli te obavezno iznos koji nudite trazite u predlozenoj kombinaciji. na taj nacin preskacemo bespotrebnu komunikaciju koja oduzima vrijeme sto meni sto vama,42331163,19.12.2023.,44
26,mladenimarko,oglasivaca,iphone 14 pro max 128 gb pod garancijom,Grad Zagreb,rabljeno,899,prodajem iphone 14 pro max 128 gb. kupljen u tcomu 18.01.2023. godine.pod garancijom. boja siva antracit. baterija 93%. kao novi bez ogrebotine ili crtice. nikad nije bio na servisu. za preporuku. razlog prodaje je kupnja iphone 15.,42131950,19.12.2023.,760
27,Maremed,oglasivaca,iphone 14 pro max 128gb space black baterija 100%,Splitsko-dalmatinska,rabljeno,900,iphone 14 pro max 128gb crne boje zdravlje baterije 100% koristen samo split trogir i omis ne saljem postom bez zamjena odgovaram samo na poziv ,39010357,19.12.2023.,1195
28,samsungSTENJEVEC,oglasivaca,iphone 14 pro max space black 128 gb,Grad Zagreb,rabljeno,800,jamstvo do 3.2025. baterija 97% kupljen u htu 128 gb kontakt preko whatsappa ili sms 385 95 377 8876 ili 385 91 4747 037,42320173,18.12.2023.,233
29,smart_8888,oglasivaca,apple iphone 14 pro max 128gb deep purple kao novi racun garancija,Primorsko-goranska,rabljeno,850,apple iphone 14 pro max 128 gb deep purple kao novi s racunom i garancijom do 20.04.24. zdravlje baterije 97% mozebse pruzeti u rijeci ili prema dogovoru.,42255975,18.12.2023.,145
30,smart_8888,oglasivaca,apple iphone 14 pro max 256gb silver kao novi racun garanc 97% bat,Primorsko-goranska,rabljeno,950,apple iphone 14 pro max 256gb silver racun garancija do 07.02. kao novi zdravlje baterije 97%. radi na sve mreze moze se pruzeti u rijeci.,42201833,18.12.2023.,125
31,putnikovo,oglasivaca,iphone 14 pro max,Grad Zagreb,rabljeno,939,prodajem iphone 14 pro max 256gb memorije space back bez ijednog traga koristenja jamstvo travanj 2024 baterija 100% racun,42317851,18.12.2023.,213
32,Wollf,oglasivaca,iphone 14 pro max 256 gb silver,Vukovarsko-srijemska,rabljeno,1100,kao nov pod jamstvom do 22.05.2024. zastitno staklo maskica kutija papiri sve zdravlje baterije 99%,42302478,17.12.2023.,20
